Trade No,Trade Date,Underlying,Tenure,Option Type,Direction,Strike Price,Entry Price,Closing Price,Close Date
1,21/07/2025,MCL,CLU25,Put,Sell,64.00,142.0, 51.00 ,15/08/2025
2,21/07/2025,MCL,CLU25,Put,Buy,60.00,52.0, 1.00 ,15/08/2025
3,21/07/2025,MCL,CLV25,Put,Sell,64.00,277.0, 108.00 ,10/09/2025
4,21/07/2025,MCL,CLV25,Put,Buy,60.00,139.0, 10.00 ,10/09/2025
5,28/07/2025,MCL,CLU25,Call,Sell,69.00,110.0,,
6,28/07/2025,MCL,CLU25,Call,Buy,72.00,55.0,,
7,29/07/2025,MCL,CLU25,Call,Sell,70.00,105.0,,
8,29/07/2025,MCL,CLU25,Call,Buy,72.50,60.0,,
9,06/08/2025,MCL,CLX25,Put,Sell,64.00,400.0, 175.00 ,24/09/2025
10,06/08/2025,MCL,CLX25,Put,Buy,59.00,197.0, 36.00 ,24/09/2025
11,13/08/2025,MCL,CLX25,Put,Sell,62.00,326.0,,
12,13/08/2025,MCL,CLX25,Put,Buy,59.00,202.0,,
13,20/08/2025,MCL,CLV25,Call,Sell,64.50,142.0, 24.00 ,11/09/2025
14,20/08/2025,MCL,CLV25,Call,Buy,66.50,84.0, 7.00 ,11/09/2025
15,22/08/2025,MCL,CLV25,Call,Sell,64.50,160.0, 21.00 ,12/09/2025
16,22/08/2025,MCL,CLV25,Call,Buy,66.00,105.0, 8.00 ,12/09/2025
17,22/08/2025,MCL,CLX25,Call,Sell,66.00,182.0,,
18,22/08/2025,MCL,CLX25,Call,Buy,68.00,126.0,,
19,03/09/2025,MCL,CLV25,Call,Sell,67.00,102.0, 6.00 ,12/09/2025
20,03/09/2025,MCL,CLV25,Call,Buy,69.00,53.0, 3.00 ,12/09/2025
21,05/09/2025,MCL,CLX25,Put,Sell,61.00,256.0,,
22,05/09/2025,MCL,CLX25,Put,Buy,57.00,118.0,,
23,08/09/2025,MCL,CLZ25,Put,Sell,62.00,339.0,,
24,08/09/2025,MCL,CLZ25,Put,Buy,56.50,137.0,,
25,22/09/2025,MCL,CLX25,Put,Sell,60.75,98.0,,
26,22/09/2025,MCL,CLX25,Put,Buy,58.25,43.0,,
27,22/09/2025,MCL,CLZ25,Put,Sell,60.75,222.0,,
28,22/09/2025,MCL,CLZ25,Put,Buy,59.00,157.0,,
29,22/09/2025,MCL,CLZ25,Put,Sell,60.75,222.0,,
30,22/09/2025,MCL,CLZ25,Put,Buy,59.00,157.0,,
31,23/08/2025,MCL,CLX25,Call,Sell,64.50,135.0,,
32,23/08/2025,MCL,CLX25,Call,Buy,67.00,64.0,,
33,24/09/2025,MCL,CLZ25,Call,Sell,66.00,209.0,,
34,24/09/2025,MCL,CLZ25,Call,Buy,69.50,112.0,,
35,24/09/2025,MCL,CLZ25,Call,Sell,67.00,117.0,,
36,24/09/2025,MCL,CLZ25,Call,Buy,71.00,88.0,,
37,24/09/2025,MCL,CLZ25,Call,Sell,67.00,117.0,,
38,24/09/2025,MCL,CLZ25,Call,Buy,71.00,88.0,,
39,24/09/2025,MCL,CLZ25,Call,Sell,71.00,199.0,,
40,24/09/2025,MCL,CLZ25,Call,Buy,68.00,124.0,,
